"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num County total","num County rptg","over votes","under votes"
196,"State Representative, 100th Representative District","Kevin P. SINNETTE","DEM",10072,100.00,37372,14898,1,1,"0","0"
197,"Justice of the Supreme Court, 1st Supreme Court District","Bill CUNNINGHAM","",109238,100.00,361313,176293,24,24,"0","0"
198,"Justice of the Supreme Court, 2nd Supreme Court District","John D. MINTON JR.","",121101,100.00,444783,203928,14,14,"0","0"
199,"Justice of the Supreme Court, 4th Supreme Court District","Lisabeth Hughes ABRAMSON","",142637,100.00,0,259804,1,1,"0","0"
200,"Justice of the Supreme Court, 6th Supreme Court District","Teresa L. CUNNINGHAM","",60553,41.57,502634,218169,21,21,"0","0"
201,"Justice of the Supreme Court, 6th Supreme Court District","Michelle M. KELLER","",85129,58.43,502634,218169,21,21,"0","0"
202,"Judge of the Court of Appeals, 1st Appellate District, 1st Division","Christopher Shea NICKELL","",102054,100.00,361313,176293,24,24,"0","0"
203,"Judge of the Court of Appeals, 1st Appellate District, 2nd Division","Donna L. DIXON","",100498,100.00,361313,176293,24,24,"0","0"
204,"Judge of the Court of Appeals, 2nd Appellate District, 1st Division","Jeff S. TAYLOR","",115411,100.00,444783,203928,14,14,"0","0"
205,"Judge of the Court of Appeals, 2nd Appellate District, 2nd Division","Kelly THOMPSON","",96420,69.99,444783,203928,14,14,"0","0"
206,"Judge of the Court of Appeals, 2nd Appellate District, 2nd Division","Mark H. FLENER","",41343,30.01,444783,203928,14,14,"0","0"
207,"Judge of the Court of Appeals, 3rd Appellate District, 1st Division","Michael O. CAPERTON","",65243,46.57,421937,199185,27,27,"0","0"
208,"Judge of the Court of Appeals, 3rd Appellate District, 1st Division","Debra Hembree LAMBERT","",74866,53.43,421937,199185,27,27,"0","0"
209,"Judge of the Court of Appeals, 3rd Appellate District, 2nd Division","James H. LAMBERT","",89803,69.99,421937,199185,27,27,"0","0"
210,"Judge of the Court of Appeals, 3rd Appellate District, 2nd Division","Paul F. HENDERSON","",38509,30.01,421937,199185,27,27,"0","0"
211,"Judge of the Court of Appeals, 4th Appellate District, 1st Division","Irv MAZE","",146704,100.00,0,259804,1,1,"0","0"
212,"Judge of the Court of Appeals, 4th Appellate District, 2nd Division","Stan WHETZEL","",45304,27.63,0,259804,1,1,"0","0"
213,"Judge of the Court of Appeals, 4th Appellate District, 2nd Division","Denise Guess CLAYTON","",118663,72.37,0,259804,1,1,"0","0"
214,"Judge of the Court of Appeals, 5th Appellate District, 1st Division","Larry VanMETER","",134621,100.00,488762,236568,11,11,"0","0"
215,"Judge of the Court of Appeals, 5th Appellate District, 2nd Division","Glenn ACREE","",127326,100.00,488762,236568,11,11,"0","0"
216,"Judge of the Court of Appeals, 6th Appellate District, 1st Division","Allison JONES","",90923,60.84,502634,218169,21,21,"0","0"
217,"Judge of the Court of Appeals, 6th Appellate District, 1st Division","Justin SANDERS","",58526,39.16,502634,218169,21,21,"0","0"
218,"Judge of the Court of Appeals, 6th Appellate District, 2nd Division","Joy A. MOORE","",124409,100.00,502634,218169,21,21,"0","0"
219,"Judge of the Court of Appeals, 7th Appellate District, 1st Division","Sara COMBS","",93649,100.00,365144,165462,22,22,"0","0"
220,"Judge of the Court of Appeals, 7th Appellate District, 2nd Division","W. Kent VARNEY","",43177,35.52,365144,165462,22,22,"0","0"
221,"Judge of the Court of Appeals, 7th Appellate District, 2nd Division","Janet L. STUMBO","",78386,64.48,365144,165462,22,22,"0","0"
222,"Circuit Judge, 1st Judicial Circuit","Tim A. LANGFORD","",6849,100.00,19166,9816,4,4,"0","0"
223,"Circuit Judge, 2nd Judicial Circuit, 1st Division","Tim KALTENBACH","",15658,100.00,50861,24066,1,1,"0","0"
224,"Circuit Judge, 2nd Judicial Circuit, 2nd Division","Craig Zeiss CLYMER","",15988,100.00,50861,24066,1,1,"0","0"
225,"Circuit Judge Family Court, 2nd Judicial Circuit, 3rd Division","Cynthia Ellen SANDERSON","",14785,100.00,50861,24066,1,1,"0","0"
226,"Circuit Judge, 3rd Judicial Circuit, 1st Division","Andrew C. SELF","",10928,100.00,45782,15467,1,1,"0","0"
227,"Circuit Judge, 3rd Judicial Circuit, 2nd Division","John L. ATKINS","",10533,100.00,45782,15467,1,1,"0","0"
228,"Circuit Judge Family Court, 3rd Judicial Circuit, 3rd Division","Jason Shea FLEMING","",10317,100.00,45782,15467,1,1,"0","0"
229,"Circuit Judge, 4th Judicial Circuit, 1st Division","James C. BRANTLEY","",10764,100.00,32708,16155,1,1,"0","0"
230,"Circuit Judge Family Court, 4th Judicial Circuit, 2nd Division","Susan Wesley McCLURE","",10264,100.00,32708,16155,1,1,"0","0"
231,"Circuit Judge, 5th Judicial Circuit, 1st Division","C. Rene' WILLIAMS","",9220,100.00,26244,13204,3,3,"0","0"
232,"Circuit Judge Family Court, 5th Judicial Circuit, 2nd Division","Brandi Hagan ROGERS","",6193,50.20,26244,13204,3,3,"0","0"
233,"Circuit Judge Family Court, 5th Judicial Circuit, 2nd Division","Ben LEONARD","",6143,49.80,26244,13204,3,3,"0","0"
234,"Circuit Judge, 6th Judicial Circuit, 1st Division","Jay A. WETHINGTON","",20066,100.00,69459,32966,1,1,"0","0"
235,"Circuit Judge, 6th Judicial Circuit, 2nd Division","Joe CASTLEN","",20831,100.00,69459,32966,1,1,"0","0"
236,"Circuit Judge, 7th Judicial Circuit","Tyler L. GILL","",8095,100.00,25303,11611,2,2,"0","0"
237,"Circuit Judge, 8th Judicial Circuit, 1st Division","Steve Alan WILSON","",22933,100.00,74822,33494,1,1,"0","0"
238,"Circuit Judge, 8th Judicial Circuit, 2nd Division","John GRISE","",22144,100.00,74822,33494,1,1,"0","0"
